"yr","regcode","reg","loccode","loc","vcode","rep","yt","x25sl","x50sl","ui","t1","e1","mic","x25sl_star","ui_star","str_star","elg_star","rd_star","b_star","mic_star"
88,20,"EAS",30,"Jackson, TN",477,2,122,1.23,0.6,48.8,221,7,3.6,1.19,47.4,24.9,6.4,72.2,9.1,3.4
88,20,"EAS",30,"Jackson, TN",513,1,117,1.21,0.61,50.4,201,6.8,3.8,1.16,47.1,20.1,6.9,74.5,10.1,4.3
88,20,"EAS",30,"Jackson, TN",513,2,119,1.18,0.59,50,204,7.8,4.2,1.16,49.6,20,6.5,74.3,9.2,4.4
88,20,"EAS",30,"Jackson, TN",521,1,107,1.16,0.56,48.3,200,7.8,4.3,1.18,48.8,20.2,6.4,76.9,9.4,4.2
88,20,"EAS",30,"Jackson, TN",521,2,112,1.13,0.54,47.8,196,7.8,4.2,1.12,44.3,20.4,7,73.7,9.4,4.2
88,20,"EAS",30,"Jackson, TN",570,1,127,1.23,0.56,45.5,201,6.3,4.6,1.28,46.6,21.7,6.5,77.1,9.4,3.6
88,20,"EAS",30,"Jackson, TN",570,2,117,1.24,0.61,49.2,198,7,4.3,1.22,47.3,22.7,6.3,72.6,9.8,4
88,20,"EAS",30,"Jackson, TN",574,1,113,1.17,0.57,48.7,189,7,4.3,1.12,46.6,21.8,6.7,75.1,9.9,4
88,20,"EAS",30,"Jackson, TN",574,2,113,1.2,0.59,49.2,203,8,4.2,1.2,48.3,22.6,6.4,77.6,9.2,3.8
88,20,"EAS",30,"Jackson, TN",575,1,115,1.19,0.61,51.3,179,6.5,4.4,1.18,49.9,20.1,6.6,77.4,9,4.6
88,20,"EAS",30,"Jackson, TN",575,2,116,1.2,0.6,50,195,6.3,4.2,1.19,49.2,19.2,6.3,76.7,9.4,4.3
88,20,"EAS",30,"Jackson, TN",603,1,116,1.2,0.54,45,201,6.5,4,1.21,46.6,20.7,6.6,75.8,9.7,3.4
88,20,"EAS",30,"Jackson, TN",603,2,119,1.23,0.6,48.8,201,6.8,4,1.2,46.2,21.5,6.7,73.6,9.3,4.1
88,20,"EAS",30,"Jackson, TN",611,1,113,1.18,0.57,48.3,194,7.5,4.2,1.17,46.8,20.9,6.7,74.9,9.9,4.2
88,20,"EAS",30,"Jackson, TN",611,2,110,1.16,0.55,47.4,187,6.8,4.4,1.14,46.2,19.3,7.1,76.6,9.4,4
88,20,"EAS",30,"Jackson, TN",635,1,115,1.15,0.62,53.9,205,7,4.2,1.1,49.4,20.4,6.9,73.7,9.3,4.4
88,20,"EAS",30,"Jackson, TN",635,2,114,1.13,0.56,49.6,206,6,4.1,1.12,50.5,20.1,6.5,78.4,9.1,4.1
88,20,"EAS",30,"Jackson, TN",649,1,115,1.2,0.61,50.8,203,5.5,4.1,1.2,47.5,23.6,6.7,76,9.8,4.2
88,20,"EAS",30,"Jackson, TN",649,2,123,1.18,0.58,49.2,217,5.5,4.2,1.16,46.7,22.1,6.5,75.5,9.7,4.1
88,20,"EAS",30,"Jackson, TN",654,1,122,1.24,0.63,50.8,208,6.8,3.8,1.19,47,22.3,6.5,75.9,9.6,4.2
88,20,"EAS",30,"Jackson, TN",654,2,117,1.23,0.61,49.6,213,7,4.2,1.21,50.1,22.3,6.8,76.7,9.7,4.1
88,20,"EAS",30,"Jackson, TN",670,1,101,1.21,0.57,47.1,194,6.3,4.5,1.18,45.9,19,6.7,74.3,10.3,4.4
88,20,"EAS",30,"Jackson, TN",670,2,114,1.2,0.57,47.5,200,6.3,4.3,1.21,47.9,20.1,6.7,75.8,9.4,4.3
88,20,"EAS",30,"Jackson, TN",681,1,115,1.14,0.57,50,180,6,4.5,1.15,49.3,20.6,6.5,77.1,9.3,4.4
88,20,"EAS",30,"Jackson, TN",681,2,114,1.15,0.57,49.6,180,5.8,4.6,1.12,47.9,19.4,6.2,76.2,9.2,4.6
88,20,"EAS",30,"Jackson, TN",689,1,107,1.23,0.6,48.8,188,8.8,4,1.22,46.8,20.4,6.7,77.4,9.9,3.8
88,20,"EAS",30,"Jackson, TN",689,2,110,1.24,0.6,48.4,194,8,3.8,1.24,48.4,20.2,7,76.4,9.5,3.7
88,20,"EAS",30,"Jackson, TN",748,1,117,1.2,0.57,47.5,198,4.8,4.8,1.21,47,21,6.5,74.8,9.7,4.1
88,20,"EAS",30,"Jackson, TN",748,2,120,1.25,0.63,50.4,194,6.3,4.4,1.24,49.1,20.6,6.4,76,9.6,4.4
88,20,"EAS",35,"Tifton, GA",450,1,111,1.1,0.57,51.8,195,7.3,5.2,1.03,46.9,19.7,6.8,77.2,8.7,5.2
88,20,"EAS",35,"Tifton, GA",450,2,116,1.06,0.54,50.9,199,7,5.3,1.01,49.8,19.3,7,78.2,8.7,5.4
88,20,"EAS",35,"Tifton, GA",473,1,98,1.07,0.54,50.5,161,9.5,5.4,1.05,48.7,18,7.4,76.1,8.4,4.9
88,20,"EAS",35,"Tifton, GA",473,2,97,1.06,0.54,50.9,175,9,5.3,1.07,49.9,16.7,7,77.2,7.9,5
88,20,"EAS",35,"Tifton, GA",477,1,133,1.22,0.62,50.8,243,6.3,4.7,1.17,49.3,21.5,6.5,75.2,7.6,4.3
88,20,"EAS",35,"Tifton, GA",477,2,124,1.12,0.58,51.8,241,6.5,4.7,1.09,47.1,22.2,6.8,78.1,8.2,4.7
88,20,"EAS",35,"Tifton, GA",513,1,115,1.08,0.55,50.9,208,7,5.1,1.04,48.7,20.5,7,75,8.9,5.2
88,20,"EAS",35,"Tifton, GA",513,2,116,1.06,0.51,48.1,182,7.3,5.2,1.08,48.5,18.4,6.8,76.2,9.1,5.2
88,20,"EAS",35,"Tifton, GA",521,1,103,1.09,0.55,50.5,186,7.8,4.9,1.04,47.4,20.5,6.9,76.2,7.9,4.7
88,20,"EAS",35,"Tifton, GA",521,2,109,1.04,0.54,51.9,184,7.8,5.3,1.02,48.2,19.2,7.1,79.3,8.6,5.4
88,20,"EAS",35,"Tifton, GA",570,1,118,1.09,0.52,47.7,185,6.8,5.7,1.09,46.2,18.1,6.5,74,9.4,5.2
88,20,"EAS",35,"Tifton, GA",570,2,111,1.13,0.55,48.7,179,7.3,5.3,1.12,47,20.8,6.7,74.8,8.4,4.9
88,20,"EAS",35,"Tifton, GA",574,1,109,1.1,0.54,49.1,182,6.8,5.4,1.06,47.1,19.1,6.6,74.9,8.4,5.1
88,20,"EAS",35,"Tifton, GA",574,2,116,1.04,0.53,51,185,6.8,5.3,1.05,49.1,19.7,6.8,75.3,8.7,5.2
88,20,"EAS",35,"Tifton, GA",575,1,109,1.07,0.56,52.3,181,6.8,5.7,1.03,49.4,18,6.6,77,8,5.7
88,20,"EAS",35,"Tifton, GA",575,2,111,1.06,0.53,50,172,7,5.9,1.03,46.3,18.7,6.5,78.8,8.4,5.4
88,20,"EAS",35,"Tifton, GA",603,1,118,1.03,0.54,52.4,196,7,5.5,0.96,49.6,20.6,6.9,78.8,8.8,5.5
