"yr","regcode","reg","loccode","loc","vcode","rep","yt","x25sl","x50sl","ui","t1","e1","mic","uhm_mot","ui_mot","str_mpt","rd_mot","b_mot","mic_mot"
"85",20,"EAS",30,"Jackson, TN","689",1,137,1.17,0.55,47,19.6,7,4.4,1.22,84,28,81,8.8,4.4
"85",20,"EAS",30,"Jackson, TN","689",2,134,1.14,0.52,45,19.6,6.9,4.5,1.17,82,26,78.5,9.2,4.5
"85",20,"EAS",33,"Auburn, AL","80",1,129,1.06,0.51,48,17.4,5.8,4.7,1.09,82,23,76.5,10,4.5
"85",20,"EAS",33,"Auburn, AL","80",2,125,1.07,0.52,49,17.9,6,4.6,1.07,82,21,72,9.6,4.3
"85",20,"EAS",33,"Auburn, AL","450",1,142,1.08,0.53,49,19,5.2,4.4,1.07,83,23,73.5,9.6,4.2
"85",20,"EAS",33,"Auburn, AL","450",2,147,1.09,0.51,47,20,5.1,4.3,1.11,83,24,72.5,9.2,4.2
"85",20,"EAS",33,"Auburn, AL","513",1,140,1.12,0.53,47,20.6,5.7,4.5,1.16,83,24,73,9.6,4.5
"85",20,"EAS",33,"Auburn, AL","513",2,138,1.12,0.56,50,19.5,5.9,4.6,1.09,84,24,75.5,9.4,4.4
"85",20,"EAS",33,"Auburn, AL","570",1,145,1.11,0.53,48,19.5,5.5,4.6,1.17,85,25,74.5,9.6,4.3
"85",20,"EAS",33,"Auburn, AL","570",2,152,1.15,0.55,48,20.3,6,4,1.17,85,25,76,9.6,4.1
"85",20,"EAS",33,"Auburn, AL","574",1,142,1.07,0.5,47,19.3,5.5,4.9,1.13,85,24,73,10.4,4.8
"85",20,"EAS",33,"Auburn, AL","574",2,144,1.08,0.51,47,18.6,5.1,4.4,1.1,82,21,73,9.2,4.3
"85",20,"EAS",33,"Auburn, AL","575",1,131,1.07,0.49,46,18,5.2,4.9,1.11,82,23,77.5,9,4.8
"85",20,"EAS",33,"Auburn, AL","575",2,131,1.08,0.49,46,19,5.1,4.7,1.09,83,22,76,9,4.8
"85",20,"EAS",33,"Auburn, AL","593",1,132,1.09,0.49,45,20.2,5.8,4.5,1.12,83,22,74,9,4.5
"85",20,"EAS",33,"Auburn, AL","593",2,157,1.14,0.54,48,19.7,6.3,4.4,1.18,86,27,75,9.6,4.3
"85",20,"EAS",33,"Auburn, AL","603",1,143,1.1,0.51,47,19.5,5.5,4.4,1.1,83,22,74,9.8,4.6
"85",20,"EAS",33,"Auburn, AL","603",2,151,1.12,0.56,50,20.6,5.5,4.8,1.11,84,25,75.5,9.6,4.5
"85",20,"EAS",33,"Auburn, AL","611",1,160,1.13,0.53,47,21.4,5.3,4.4,1.18,85,25,74.5,9.2,4.3
"85",20,"EAS",33,"Auburn, AL","611",2,135,1.12,0.52,47,18.9,6.3,4.3,1.1,84,22,75,8.6,4.1
"85",20,"EAS",33,"Auburn, AL","635",1,137,1.02,0.5,50,19.8,5.6,4.5,1.03,82,24,74,9.8,4
"85",20,"EAS",33,"Auburn, AL","635",2,135,1.04,0.53,52,20.1,5.6,4.3,1.06,85,22,74,9.6,4.7
"85",20,"EAS",33,"Auburn, AL","638",1,133,1.09,0.53,49,19.8,6.5,4.4,1.12,84,25,73,9.6,3.9
"85",20,"EAS",33,"Auburn, AL","638",2,131,1.1,0.5,46,20,6.6,4.1,1.12,83,23,73,10,4.2
"85",20,"EAS",33,"Auburn, AL","649",1,153,1.1,0.53,48,21.4,5.5,4.9,1.13,85,30,77,9.4,4.8
"85",20,"EAS",33,"Auburn, AL","649",2,146,1.09,0.54,50,21.2,6.4,4.3,1.11,84,23,75,9.4,4.6
"85",20,"EAS",33,"Auburn, AL","679",1,177,1.11,0.57,51,25,6,4.4,1.1,84,28,75.5,9.4,4.3
"85",20,"EAS",33,"Auburn, AL","679",2,172,1.11,0.56,51,22.4,5.4,4.7,1.1,85,26,74.5,9.2,4.6
"85",20,"EAS",33,"Auburn, AL","681",1,136,1.09,0.54,50,19,5,4.5,1.07,83,21,75,9,4.6
"85",20,"EAS",33,"Auburn, AL","681",2,135,1.08,0.5,47,18.5,5.4,4.3,1.11,84,25,75.5,8.8,4.4
"85",20,"EAS",33,"Auburn, AL","689",1,129,1.08,0.49,45,19.2,6.6,4.5,1.16,84,22,77,9,4.8
"85",20,"EAS",33,"Auburn, AL","689",2,129,1.09,0.49,45,18.9,6.6,4.7,1.11,82,22,77,9,4.8
"85",20,"EAS",36,"Florence, SC","80",1,135,1.19,0.6,50,18.5,6.4,5.1,1.18,85,25,77,9.6,5.4
"85",20,"EAS",36,"Florence, SC","80",2,132,1.17,0.58,49,19.4,6.8,5.1,1.2,84,26,79.5,9.2,5.2
"85",20,"EAS",36,"Florence, SC","450",1,151,1.21,0.63,52,19.9,5.5,5,1.22,88,25,78.5,9.4,4.6
"85",20,"EAS",36,"Florence, SC","450",2,148,1.14,0.53,46,20.9,5.3,5,1.17,83,27,78.5,8.8,5
"85",20,"EAS",36,"Florence, SC","513",1,149,1.2,0.61,50,20,6.5,4.6,1.18,83,28,79.5,9,4.7
"85",20,"EAS",36,"Florence, SC","513",2,157,1.19,0.59,49,20.6,5.5,4.9,1.2,85,30,80,9.2,4.8
"85",20,"EAS",36,"Florence, SC","570",1,156,1.21,0.59,49,21.3,6.4,4.6,1.26,84,28,78,9.6,4.7
"85",20,"EAS",36,"Florence, SC","570",2,160,1.26,0.61,49,20.9,5.8,4.6,1.22,85,31,78.5,9.4,4.6
"85",20,"EAS",36,"Florence, SC","574",1,152,1.2,0.58,48,20.2,5.2,4.6,1.23,84,28,80,9,4.5
"85",20,"EAS",36,"Florence, SC","574",2,155,1.17,0.57,48,21.4,5.4,4.7,1.19,84,28,78.5,9,4.9
"85",20,"EAS",36,"Florence, SC","575",1,143,1.17,0.56,47,20.2,5,5.4,1.19,84,29,81,9,5.2
"85",20,"EAS",36,"Florence, SC","575",2,138,1.16,0.56,47,19,5,5.5,1.17,84,24,78,9,5.4
"85",20,"EAS",36,"Florence, SC","593",1,174,1.2,0.59,49,21.5,5.4,4.4,1.25,85,30,77,9.4,4.5
"85",20,"EAS",36,"Florence, SC","593",2,174,1.25,0.64,51,23.3,5,4.9,1.25,85,33,77.5,9,4.8
"85",20,"EAS",36,"Florence, SC","603",1,146,1.19,0.57,48,20.7,5.9,4.7,1.22,82,28,79,8.6,4.9
"85",20,"EAS",36,"Florence, SC","603",2,154,1.18,0.57,49,20.8,6,4.7,1.22,83,27,78,9.4,4.8
"85",20,"EAS",36,"Florence, SC","611",1,147,1.21,0.6,49,20.8,6,4.6,1.22,85,27,81,9,4.7
"85",20,"EAS",36,"Florence, SC","611",2,150,1.2,0.57,47,20.8,6,4.7,1.21,83,30,79.5,8.8,5
"85",20,"EAS",36,"Florence, SC","635",1,145,1.13,0.55,49,19.9,6.2,4.1,1.1,84,25,79,8.6,4.2
"85",20,"EAS",36,"Florence, SC","635",2,144,1.1,0.52,47,20.6,6.1,4.3,1.1,83,29,79.5,9,4.9
"85",20,"EAS",36,"Florence, SC","638",1,137,1.22,0.61,50,19.7,6.3,4.4,1.16,84,28,77.5,10,4.4
"85",20,"EAS",36,"Florence, SC","638",2,141,1.21,0.6,49,19.8,5.9,4.6,1.22,85,25,77,10,4.7
"85",20,"EAS",36,"Florence, SC","649",1,152,1.21,0.61,50,21.6,5.2,5.4,1.22,85,30,78.5,9.2,5.1
"85",20,"EAS",36,"Florence, SC","649",2,153,1.19,0.57,48,22.1,5.5,5.1,1.21,85,32,79,9,5.2
"85",20,"EAS",36,"Florence, SC","679",1,166,1.21,0.61,51,21.3,5.4,4.3,1.19,84,31,79.5,9.2,4.5
