"breeder","yr","reg","regcode","loc","loccode","var","varcode","rep","remarks","mic","mat","uhm","ui","sfc","str","elo","rd","hunterb","card_loss","yt"
"12-019","18","EAST","020","STARKVILLE","067","ST 5471GLTP","1578","1","""",4.28,0.85,1.13,82.7,8.5,28.75,7.8,75.15,6.4,NA,NA
"12-020","18","EAST","020","STARKVILLE","067","ST 5471GLTP","1578","2","""",4.34,0.86,1.15,83.2,7.6,29.55,7.5,74.5,5.65,NA,NA
"87-001","18","EAST","020","BELLA MINA","087","PHY 499WRF*","1404","1","NATL STD",5.13,0.87,1.19,85.7,7.3,31.6,8.9,69.55,8.25,NA,NA
"87-002","18","EAST","020","BELLA MINA","087","PHY 499WRF*","1404","2","""",4.88,0.86,1.15,84.7,7.1,31.85,9,73.25,9,NA,NA
"87-011","18","EAST","020","BELLA MINA","087","DP 1538B2XF","1510","1","""",5.03,0.86,1.15,84.9,7.4,29.3,9.2,74.6,9.05,NA,NA
"87-012","18","EAST","020","BELLA MINA","087","DP 1538B2XF","1510","2","""",4.86,0.86,1.16,84.3,7.9,28.25,9,73.5,7.95,NA,NA
"87-003","18","EAST","020","BELLA MINA","087","DP 1646B2XF*","1516","1","""",4.69,0.85,1.28,84.7,6.6,28.1,9.4,75.75,8.15,NA,NA
"87-004","18","EAST","020","BELLA MINA","087","DP 1646B2XF*","1516","2","""",4.43,0.85,1.28,83.9,7,29.55,9.2,74.6,8.15,NA,NA
"87-005","18","EAST","020","BELLA MINA","087","NG 4545B2XF*","1535","1","""",4.77,0.87,1.16,81.9,9.1,31.4,7.7,73.85,8.75,NA,NA
"87-006","18","EAST","020","BELLA MINA","087","NG 4545B2XF*","1535","2","""",4.91,0.87,1.18,83.6,8.1,30.85,7.4,74.95,9.1,NA,NA
"87-007","18","EAST","020","BELLA MINA","087","PHY 764WRF*","1536","1","""",4.06,0.85,1.26,86.5,6.7,32.95,8.3,75.25,9.25,NA,NA
"87-008","18","EAST","020","BELLA MINA","087","PHY 764WRF*","1536","2","""",4.26,0.85,1.21,85.6,7,32.6,8.7,74,8.9,NA,NA
"87-009","18","EAST","020","BELLA MINA","087","PHY 430W3FE","1574","1","REGL STD",4.49,0.85,1.12,85.1,7.3,29.95,8.8,72.85,9.85,NA,NA
"87-010","18","EAST","020","BELLA MINA","087","PHY 430W3FE","1574","2","""",4.61,0.85,1.14,84.2,7.9,28.1,8.8,74.55,9.8,NA,NA
"87-013","18","EAST","020","BELLA MINA","087","DP 1840B3XF","1575","1","""",4.56,0.86,1.25,85.1,6.6,31.9,8.2,73.3,8.7,NA,NA
"87-014","18","EAST","020","BELLA MINA","087","DP 1840B3XF","1575","2","""",4.38,0.85,1.21,85.3,7.3,30.25,8.5,76.75,8.95,NA,NA
"87-015","18","EAST","020","BELLA MINA","087","NG 5007B2XF","1576","1","""",5.01,0.86,1.18,84.3,7.5,28.7,9.1,73.85,8.95,NA,NA
"87-016","18","EAST","020","BELLA MINA","087","NG 5007B2XF","1576","2","""",4.5,0.85,1.17,84.2,7.8,27.9,9,74.2,9.15,NA,NA
"87-017","18","EAST","020","BELLA MINA","087","NG 3522B2XF","1577","1","""",4.91,0.86,1.13,83.7,8,26.75,8.4,74.25,9.4,NA,NA
