"breeder","yr","reg","regcode","loc","loccode","var","varcode","rep","remarks","mic","mat","uhm","ui","sfc","str","elo","rd","hunterb","card_loss","yt"
"89-051","18","HIGH QUAL","071","PORTAG","075","PHY 444WRF","1459","1","""",4.43,0.86,1.33,85.8,5.7,32.6,7.9,76.45,6.1,NA,NA
"89-052","18","HIGH QUAL","071","PORTAG","075","PHY 444WRF","1459","2","""",4.88,0.87,1.29,86.8,6.1,31.85,7.5,72.95,5.2,NA,NA
"89-025","18","HIGH QUAL","071","PORTAG","075","FM 1830GLT","1503","1","REGL STD",4.3,0.86,1.34,88.3,5.3,34.25,7.4,77.2,5,NA,NA
"89-026","18","HIGH QUAL","071","PORTAG","075","FM 1830GLT","1503","2","""",4.34,0.86,1.29,86.6,5.8,34.7,7.3,77.1,4.4,NA,NA
"89-021","18","HIGH QUAL","071","PORTAG","075","DP 1646B2XF*","1516","1","NATL STD",5.08,0.87,1.27,85.8,6.8,30.1,8.1,75.3,5.05,NA,NA
"89-022","18","HIGH QUAL","071","PORTAG","075","DP 1646B2XF*","1516","2","""",5.04,0.87,1.28,86.7,6.4,30.45,8.3,76.75,4.8,NA,NA
"89-023","18","HIGH QUAL","071","PORTAG","075","PHY 764WRF*","1536","1","""",3.84,0.84,1.26,87.4,6.2,37.2,8.4,75.7,5.55,NA,NA
"89-024","18","HIGH QUAL","071","PORTAG","075","PHY 764WRF*","1536","2","""",4.03,0.84,1.26,87.2,6.2,36.45,8.3,77.4,6.45,NA,NA
"89-027","18","HIGH QUAL","071","PORTAG","075","FM 2574GLT","1556","1","""",4.35,0.86,1.3,86.3,6.1,33.25,7.4,75.45,5.45,NA,NA
"89-028","18","HIGH QUAL","071","PORTAG","075","FM 2574GLT","1556","2","""",4.13,0.85,1.27,85,6.5,32.6,7.5,75.2,4.65,NA,NA
"89-029","18","HIGH QUAL","071","PORTAG","075","ST 5020GLT","1557","1","""",4.49,0.85,1.24,85.5,7,32.1,8.3,77.2,6.5,NA,NA
"89-030","18","HIGH QUAL","071","PORTAG","075","ST 5020GLT","1557","2","""",4.45,0.85,1.26,85.2,7.4,32.05,8.4,76.25,6.35,NA,NA
"89-031","18","HIGH QUAL","071","PORTAG","075","DP 1845B3XF","1558","1","""",3.61,0.83,1.3,83.9,6.4,31.95,9.1,77.55,5.7,NA,NA
"89-032","18","HIGH QUAL","071","PORTAG","075","DP 1845B3XF","1558","2","""",4.19,0.84,1.32,86.5,5.7,31.35,9.1,78.3,5.35,NA,NA
"89-033","18","HIGH QUAL","071","PORTAG","075","DP 1820B3XF","1559","1","""",4.54,0.86,1.3,87.4,5.7,34.2,7.6,78.9,5.8,NA,NA
"89-034","18","HIGH QUAL","071","PORTAG","075","DP 1820B3XF","1559","2","""",4.51,0.86,1.24,83.7,7.8,31.4,7.4,79.4,6.35,NA,NA
"89-035","18","HIGH QUAL","071","PORTAG","075","ARK 1019-14","1560","1","""",4.12,0.84,1.31,84.8,5.7,28.8,8.6,74.85,4.95,NA,NA
"89-036","18","HIGH QUAL","071","PORTAG","075","ARK 1019-14","1560","2","""",4.11,0.84,1.34,86,5.5,30.35,8.5,75.95,4.8,NA,NA
"89-037","18","HIGH QUAL","071","PORTAG","075","ARK 1002-40","1561","1","""",4.63,0.86,1.33,87.5,5.2,34.05,7.8,74,5.4,NA,NA
"89-038","18","HIGH QUAL","071","PORTAG","075","ARK 1002-40","1561","2","""",4.41,0.86,1.3,87.1,5.6,33.5,7.8,73.25,5.15,NA,NA
"89-039","18","HIGH QUAL","071","PORTAG","075","ARK 1019-36","1562","1","""",4.24,0.85,1.35,86.1,5.3,32.15,8,73.7,4.45,NA,NA
"89-040","18","HIGH QUAL","071","PORTAG","075","ARK 1019-36","1562","2","""",4.72,0.86,1.38,87.1,5,33.15,8.2,74.5,5.2,NA,NA
"89-041","18","HIGH QUAL","071","PORTAG","075","NM 13P1125","1563","1","""",4.28,0.85,1.23,84.8,7,34.35,8.4,74.4,6.15,NA,NA
"89-042","18","HIGH QUAL","071","PORTAG","075","NM 13P1125","1563","2","""",4.27,0.85,1.23,85.7,6.6,35.15,8.5,75.05,5.25,NA,NA
"89-043","18","HIGH QUAL","071","PORTAG","075","NM 16W1079","1564","1","""",4.44,0.85,1.19,84,7.2,32.1,8.4,73.2,5.95,NA,NA
"89-044","18","HIGH QUAL","071","PORTAG","075","NM 16W1079","1564","2","""",4.66,0.86,1.19,86.3,6.8,33.8,8.5,74.8,5.95,NA,NA
"89-045","18","HIGH QUAL","071","PORTAG","075","NM 16W1094","1565","1","""",4.37,0.85,1.22,86.1,6.3,33.55,8.4,75.5,5.75,NA,NA
"89-046","18","HIGH QUAL","071","PORTAG","075","NM 16W1094","1565","2","""",4.5,0.85,1.21,85.1,6.6,32.2,8.7,75.95,5.85,NA,NA
"89-047","18","HIGH QUAL","071","PORTAG","075","TAM 13Q-18","1566","1","""",4.52,0.86,1.26,85.9,6.6,31.7,8.2,76.1,6.15,NA,NA
"89-048","18","HIGH QUAL","071","PORTAG","075","TAM 13Q-18","1566","2","""",4,0.84,1.27,87.2,6.2,32.5,8.6,74.35,5.05,NA,NA
"89-049","18","HIGH QUAL","071","PORTAG","075","TAM KJ-Q14","1567","1","""",4.03,0.85,1.35,86.4,5.1,36.3,7.6,76.5,6.85,NA,NA
"89-050","18","HIGH QUAL","071","PORTAG","075","TAM KJ-Q14","1567","2","""",4.11,0.86,1.41,87.9,5,42.55,7.3,79.2,6.4,NA,NA
"89-053","18","HIGH QUAL","071","PORTAG","075","PHY 440W3FE","1568","1","""",3.9,0.85,1.28,85.2,6.9,36.1,7.3,77.1,6.6,NA,NA
"89-054","18","HIGH QUAL","071","PORTAG","075","PHY 440W3FE","1568","2","""",3.93,0.85,1.28,84.3,7.3,35.15,7.7,77.3,6.05,NA,NA
"89-055","18","HIGH QUAL","071","PORTAG","075","PHY 480W3FE","1569","1","""",4.12,0.84,1.2,86.6,6.5,31.45,8.7,77.05,6.35,NA,NA
"89-056","18","HIGH QUAL","071","PORTAG","075","PHY 480W3FE","1569","2","""",4.63,0.85,1.2,85.9,6.7,28.95,8.9,77.3,6.15,NA,NA
"89-057","18","HIGH QUAL","071","PORTAG","075","DC 180","1570","1","""",4.63,0.86,1.22,86.9,6.6,33.5,8,73,4.6,NA,NA
"89-058","18","HIGH QUAL","071","PORTAG","075","DC 180","1570","2","""",4.75,0.86,1.2,86.3,6.7,32.75,8.2,74.55,5.1,NA,NA
"89-059","18","HIGH QUAL","071","PORTAG","075","DC 375","1571","1","""",4.8,0.86,1.15,85.3,6.4,28.9,8.4,73.35,6.85,NA,NA
"89-060","18","HIGH QUAL","071","PORTAG","075","DC 375","1571","2","""",4.73,0.86,1.14,85.5,6.6,30.7,8.2,74.3,6.15,NA,NA
"89-061","18","HIGH QUAL","071","PORTAG","075","LA 14063001","1572","1","""",4.73,0.86,1.24,86.1,6.6,31.65,8.5,76.45,5.9,NA,NA
"89-062","18","HIGH QUAL","071","PORTAG","075","LA 14063001","1572","2","""",4.35,0.85,1.3,87,5.7,32.4,8.4,74.45,5.3,NA,NA
"89-063","18","HIGH QUAL","071","PORTAG","075","LA 14603038","1573","1","""",3.89,0.85,1.27,83.3,7.5,33.25,7.5,74.3,6.45,NA,NA
"89-064","18","HIGH QUAL","071","PORTAG","075","LA 14603038","1573","2","""",4.69,0.86,1.25,83.8,7.3,33.35,7.6,75.2,4.95,NA,NA
"63-055","18","HIGH QUAL","071","LAS CRUCES","155","PHY 444WRF","1459","1","""",3.99,0.85,1.18,82.9,8.1,30.75,7.7,70.35,6.15,NA,NA
"63-056","18","HIGH QUAL","071","LAS CRUCES","155","PHY 444WRF","1459","2","""",4.42,0.86,1.2,84.2,7.6,28.8,7.8,69.9,6.3,NA,NA
"63-029","18","HIGH QUAL","071","LAS CRUCES","155","FM 1830GLT","1503","1","REGL STD",4.88,0.87,1.27,83.7,7.3,32.95,7.2,68.75,4.65,NA,NA
"63-030","18","HIGH QUAL","071","LAS CRUCES","155","FM 1830GLT","1503","2","""",4.8,0.87,1.2,85.1,7.6,32.05,7.3,70.6,5.25,NA,NA
"63-025","18","HIGH QUAL","071","LAS CRUCES","155","DP 1646B2XF*","1516","1","NATL STD",4.62,0.85,1.23,82.2,8.5,28.85,8.5,69.6,4.9,NA,NA
"63-026","18","HIGH QUAL","071","LAS CRUCES","155","DP 1646B2XF*","1516","2","""",4.71,0.86,1.23,82.6,8.4,27.3,8.5,68.6,5.55,NA,NA
"63-027","18","HIGH QUAL","071","LAS CRUCES","155","PHY 764WRF*","1536","1","""",4.55,0.86,1.15,83.6,8.3,31.2,7.2,66.45,5.85,NA,NA
"63-028","18","HIGH QUAL","071","LAS CRUCES","155","PHY 764WRF*","1536","2","""",4.56,0.86,1.13,80.9,11.2,30.4,8.3,67.7,6.1,NA,NA
"63-031","18","HIGH QUAL","071","LAS CRUCES","155","FM 2574GLT","1556","1","""",4.93,0.87,1.18,84,8,30.6,7.2,67.7,5.9,NA,NA
"63-032","18","HIGH QUAL","071","LAS CRUCES","155","FM 2574GLT","1556","2","""",4.6,0.87,1.18,83.2,8.5,28.75,7.1,72.25,5.8,NA,NA
"63-033","18","HIGH QUAL","071","LAS CRUCES","155","ST 5020GLT","1557","1","""",4.71,0.86,1.21,85.3,7.6,32.85,8.1,67.25,5.4,NA,NA
"63-034","18","HIGH QUAL","071","LAS CRUCES","155","ST 5020GLT","1557","2","""",4.9,0.87,1.24,84.9,7,31.95,8.3,65.7,5.3,NA,NA
"63-035","18","HIGH QUAL","071","LAS CRUCES","155","DP 1845B3XF","1558","1","""",4.58,0.86,1.28,84.5,6.8,31.7,8.6,69.05,5.4,NA,NA
"63-036","18","HIGH QUAL","071","LAS CRUCES","155","DP 1845B3XF","1558","2","""",4.43,0.85,1.21,83.5,8.6,29.1,9.2,69.55,5.75,NA,NA
"63-037","18","HIGH QUAL","071","LAS CRUCES","155","DP 1820B3XF","1559","1","""",5.26,0.88,1.15,81.5,9.3,30.2,7.5,70.15,5.75,NA,NA
"63-038","18","HIGH QUAL","071","LAS CRUCES","155","DP 1820B3XF","1559","2","""",5.18,0.88,1.13,84.3,9.1,30.1,7,69.75,5.75,NA,NA
"63-039","18","HIGH QUAL","071","LAS CRUCES","155","ARK 1019-14","1560","1","""",4.49,0.86,1.19,82.5,8.3,31.25,7.6,69.25,5.15,NA,NA
"63-040","18","HIGH QUAL","071","LAS CRUCES","155","ARK 1019-14","1560","2","""",4.97,0.87,1.22,82.3,8.3,30.6,8,69.1,5.5,NA,NA
"63-041","18","HIGH QUAL","071","LAS CRUCES","155","ARK 1002-40","1561","1","""",5.33,0.88,1.22,87.3,6.3,33.05,7.9,67.05,6.25,NA,NA
"63-042","18","HIGH QUAL","071","LAS CRUCES","155","ARK 1002-40","1561","2","""",5.01,0.87,1.23,84,7.5,32.75,7.6,66.2,5.6,NA,NA
"63-043","18","HIGH QUAL","071","LAS CRUCES","155","ARK 1019-36","1562","1","""",4.76,0.86,1.21,85.2,7.1,31.05,7.9,66.55,5.9,NA,NA
"63-044","18","HIGH QUAL","071","LAS CRUCES","155","ARK 1019-36","1562","2","""",4.79,0.86,1.17,85.5,7.2,29.85,7.8,66.6,6.1,NA,NA
"63-045","18","HIGH QUAL","071","LAS CRUCES","155","NM 13P1125","1563","1","""",4.61,0.86,1.21,84.4,6.9,33.7,8.4,67.25,6.6,NA,NA
"63-046","18","HIGH QUAL","071","LAS CRUCES","155","NM 13P1125","1563","2","""",4.6,0.86,1.12,84.6,7.4,31.4,7.9,65.45,5.7,NA,NA
"63-047","18","HIGH QUAL","071","LAS CRUCES","155","NM 16W1079","1564","1","""",4.74,0.86,1.19,82.8,7.2,31.6,8.3,67.4,5.65,NA,NA
"63-048","18","HIGH QUAL","071","LAS CRUCES","155","NM 16W1079","1564","2","""",4.66,0.86,1.09,82.7,8.5,29.15,8.2,64.2,5.2,NA,NA
"63-049","18","HIGH QUAL","071","LAS CRUCES","155","NM 16W1094","1565","1","""",4.81,0.86,1.17,85,6.8,33.1,8.4,67.05,5.6,NA,NA
"63-050","18","HIGH QUAL","071","LAS CRUCES","155","NM 16W1094","1565","2","""",4.69,0.86,1.16,85.6,7.1,32.45,8.4,66.75,5.75,NA,NA
"63-051","18","HIGH QUAL","071","LAS CRUCES","155","TAM 13Q-18","1566","1","""",4.9,0.87,1.21,84.7,7.3,32.2,8,66.55,5.7,NA,NA
"63-052","18","HIGH QUAL","071","LAS CRUCES","155","TAM 13Q-18","1566","2","""",4.71,0.86,1.11,83.1,9,28.2,8.6,67.05,5.6,NA,NA
"63-053","18","HIGH QUAL","071","LAS CRUCES","155","TAM KJ-Q14","1567","1","""",4.73,0.87,1.28,86.3,6.2,38.3,7.7,67.05,6.05,NA,NA
"63-054","18","HIGH QUAL","071","LAS CRUCES","155","TAM KJ-Q14","1567","2","""",4.33,0.86,1.29,85.1,6.3,38.2,7.4,70.3,5.9,NA,NA
"63-057","18","HIGH QUAL","071","LAS CRUCES","155","PHY 440W3FE","1568","1","""",4.92,0.87,1.15,83.4,8.7,31.1,7.5,69.5,6.45,NA,NA
"63-058","18","HIGH QUAL","071","LAS CRUCES","155","PHY 440W3FE","1568","2","""",4.5,0.86,1.13,83,9.6,29.35,7.6,69.65,6.6,NA,NA
"63-059","18","HIGH QUAL","071","LAS CRUCES","155","PHY 480W3FE","1569","1","""",4.88,0.86,1.11,84.6,7.8,28.05,8.6,65.6,5.6,NA,NA
"63-060","18","HIGH QUAL","071","LAS CRUCES","155","PHY 480W3FE","1569","2","""",5.3,0.87,1.13,85.7,6.8,29.2,8.6,69.45,6.7,NA,NA
"63-061","18","HIGH QUAL","071","LAS CRUCES","155","DC 180","1570","1","""",5.39,0.88,1.12,83.6,7.9,33.4,7.6,69.2,6.1,NA,NA
"63-062","18","HIGH QUAL","071","LAS CRUCES","155","DC 180","1570","2","""",5.76,0.89,1.09,82.7,8.6,30.75,8.1,67.3,6.1,NA,NA
"63-063","18","HIGH QUAL","071","LAS CRUCES","155","DC 375","1571","1","""",5.41,0.88,1.07,84.5,8.3,28.05,7.5,68.15,6.85,NA,NA
"63-064","18","HIGH QUAL","071","LAS CRUCES","155","DC 375","1571","2","""",5.55,0.88,1.06,83.6,8.5,30.15,7.6,64.3,6.35,NA,NA
"63-065","18","HIGH QUAL","071","LAS CRUCES","155","LA 14063001","1572","1","""",4.9,0.87,1.15,85,7.4,31.55,7.8,68.3,5.4,NA,NA
"63-066","18","HIGH QUAL","071","LAS CRUCES","155","LA 14063001","1572","2","""",4.99,0.86,1.19,83.8,7.9,29.45,8.5,69.6,5.95,NA,NA
"63-067","18","HIGH QUAL","071","LAS CRUCES","155","LA 14603038","1573","1","""",5.03,0.87,1.14,84.2,8.2,30.35,7.9,67.35,6.05,NA,NA
"63-068","18","HIGH QUAL","071","LAS CRUCES","155","LA 14603038","1573","2","""",4.84,0.87,1.2,83.1,8.5,32.95,7.1,66.65,5.55,NA,NA
"28-051","18","HIGH QUAL","071","KEISER","184","PHY 444WRF","1459","1","""",3.89,0.84,1.37,88.2,5.3,33.35,8.1,76.9,7.75,NA,NA
"28-052","18","HIGH QUAL","071","KEISER","184","PHY 444WRF","1459","2","""",4.15,0.85,1.28,87.4,5.8,30.2,8,77.4,7.9,NA,NA
"28-025","18","HIGH QUAL","071","KEISER","184","FM 1830GLT","1503","1","REGL STD",4.33,0.86,1.33,87.5,5.2,34.1,7.2,79.25,6.15,NA,NA
"28-026","18","HIGH QUAL","071","KEISER","184","FM 1830GLT","1503","2","""",4.61,0.86,1.28,85.6,5.9,33.8,7.6,79.35,6.6,NA,NA
"28-021","18","HIGH QUAL","071","KEISER","184","DP 1646B2XF*","1516","1","NATL STD",4.45,0.85,1.28,84.5,6.4,30.45,8.5,77.55,6.55,NA,NA
"28-022","18","HIGH QUAL","071","KEISER","184","DP 1646B2XF*","1516","2","""",4.52,0.85,1.27,86.1,6.2,29.45,8.9,78.45,6.75,NA,NA
"28-023","18","HIGH QUAL","071","KEISER","184","PHY 764WRF*","1536","1","""",4.13,0.85,1.21,85.6,7,37.55,7.8,78.55,8.4,NA,NA
"28-024","18","HIGH QUAL","071","KEISER","184","PHY 764WRF*","1536","2","""",4.11,0.85,1.2,84.5,7.1,36.9,7.6,76.25,7.9,NA,NA
"28-027","18","HIGH QUAL","071","KEISER","184","FM 2574GLT","1556","1","""",4.85,0.87,1.23,85.6,6.8,36.6,7.5,78.95,6.55,NA,NA
"28-028","18","HIGH QUAL","071","KEISER","184","FM 2574GLT","1556","2","""",4.49,0.86,1.26,86,6,35.35,7.6,79.05,6.5,NA,NA
"28-029","18","HIGH QUAL","071","KEISER","184","ST 5020GLT","1557","1","""",4.54,0.85,1.25,85.9,6.7,34.05,8.5,77.55,7.45,NA,NA
"28-030","18","HIGH QUAL","071","KEISER","184","ST 5020GLT","1557","2","""",4.27,0.85,1.28,85.6,6.6,35.35,8.7,75.45,6.65,NA,NA
"28-031","18","HIGH QUAL","071","KEISER","184","DP 1845B3XF","1558","1","""",4.09,0.84,1.32,86.1,5.6,31.85,9.6,76.25,6.3,NA,NA
"28-032","18","HIGH QUAL","071","KEISER","184","DP 1845B3XF","1558","2","""",4.45,0.85,1.25,85.5,7,33.95,9,78.85,6.3,NA,NA
"28-033","18","HIGH QUAL","071","KEISER","184","DP 1820B3XF","1559","1","""",4.85,0.87,1.3,85.6,6.4,38.25,7.2,74.25,6.55,NA,NA
"28-034","18","HIGH QUAL","071","KEISER","184","DP 1820B3XF","1559","2","""",4.79,0.87,1.25,84.9,7.2,34.35,7.2,74.6,7,NA,NA
"28-035","18","HIGH QUAL","071","KEISER","184","ARK 1019-14","1560","1","""",4.31,0.85,1.28,85.6,6.3,29.85,8.6,76.35,6.15,NA,NA
"28-036","18","HIGH QUAL","071","KEISER","184","ARK 1019-14","1560","2","""",4.25,0.85,1.28,84.6,6.6,32,8.5,78.6,6.1,NA,NA
"28-037","18","HIGH QUAL","071","KEISER","184","ARK 1002-40","1561","1","""",4.54,0.86,1.3,87.3,5.5,36.2,7.5,76,7.4,NA,NA
"28-038","18","HIGH QUAL","071","KEISER","184","ARK 1002-40","1561","2","""",4.58,0.86,1.27,85,6.4,34.1,7.6,74.25,7.2,NA,NA
"28-039","18","HIGH QUAL","071","KEISER","184","ARK 1019-36","1562","1","""",4.4,0.85,1.37,86.8,5.1,33.95,8.3,78.05,6.5,NA,NA
"28-040","18","HIGH QUAL","071","KEISER","184","ARK 1019-36","1562","2","""",4.48,0.86,1.37,88.6,5,35.5,8.2,78.7,7.05,NA,NA
"28-041","18","HIGH QUAL","071","KEISER","184","NM 13P1125","1563","1","""",4.63,0.86,1.23,86.2,6.6,35.6,8.3,71.75,7.15,NA,NA
"28-042","18","HIGH QUAL","071","KEISER","184","NM 13P1125","1563","2","""",4.34,0.85,1.23,85.9,6.2,35.4,8.4,72.7,6.85,NA,NA
"28-043","18","HIGH QUAL","071","KEISER","184","NM 16W1079","1564","1","""",4.47,0.86,1.22,85.5,6.3,35.5,8.1,75.85,7.4,NA,NA
"28-044","18","HIGH QUAL","071","KEISER","184","NM 16W1079","1564","2","""",4.51,0.86,1.21,85,5.9,33.1,8.4,73.9,6.65,NA,NA
"28-045","18","HIGH QUAL","071","KEISER","184","NM 16W1094","1565","1","""",4.62,0.86,1.24,87.3,5.8,35.7,8.4,75.7,7.25,NA,NA
"28-046","18","HIGH QUAL","071","KEISER","184","NM 16W1094","1565","2","""",4.18,0.85,1.23,86.9,5.8,34.65,8.2,73.7,6.55,NA,NA
"28-047","18","HIGH QUAL","071","KEISER","184","TAM 13Q-18","1566","1","""",4.95,0.87,1.27,87.2,6.1,34.05,8.3,77.8,6.95,NA,NA
"28-048","18","HIGH QUAL","071","KEISER","184","TAM 13Q-18","1566","2","""",4.6,0.86,1.26,87.4,6.2,35.55,8.1,77.45,7.8,NA,NA
"28-049","18","HIGH QUAL","071","KEISER","184","TAM KJ-Q14","1567","1","""",4.46,0.86,1.35,87.6,5.4,40.5,7.6,76.65,7.4,NA,NA
"28-050","18","HIGH QUAL","071","KEISER","184","TAM KJ-Q14","1567","2","""",4.4,0.86,1.37,87.7,5.1,40.55,7.9,76.65,7.2,NA,NA
"28-053","18","HIGH QUAL","071","KEISER","184","PHY 440W3FE","1568","1","""",4.26,0.85,1.28,85,6.4,32.85,7.5,75.75,7.6,NA,NA
"28-054","18","HIGH QUAL","071","KEISER","184","PHY 440W3FE","1568","2","""",4.47,0.86,1.25,86.2,6.5,35.05,7.8,75.1,7.4,NA,NA
"28-055","18","HIGH QUAL","071","KEISER","184","PHY 480W3FE","1569","1","""",4.61,0.85,1.21,86.2,6.2,30.4,9.2,76.55,7.45,NA,NA
"28-056","18","HIGH QUAL","071","KEISER","184","PHY 480W3FE","1569","2","""",4.81,0.86,1.16,85.1,6.4,29.1,9,75.75,7.7,NA,NA
"28-057","18","HIGH QUAL","071","KEISER","184","DC 180","1570","1","""",5.14,0.87,1.18,86.4,5.7,34.95,8.6,74.8,6.8,NA,NA
"28-058","18","HIGH QUAL","071","KEISER","184","DC 180","1570","2","""",4.99,0.86,1.15,86.7,6.1,32.5,8.5,76.2,7.2,NA,NA
"28-059","18","HIGH QUAL","071","KEISER","184","DC 375","1571","1","""",4.78,0.86,1.16,85,7.1,31.1,7.9,70.95,7.3,NA,NA
"28-060","18","HIGH QUAL","071","KEISER","184","DC 375","1571","2","""",4.77,0.86,1.13,85.9,6.3,31.7,8,72.4,7.75,NA,NA
"28-061","18","HIGH QUAL","071","KEISER","184","LA 14063001","1572","1","""",4.36,0.85,1.26,85.8,6.5,34.4,8.4,76.05,7.1,NA,NA
"28-062","18","HIGH QUAL","071","KEISER","184","LA 14063001","1572","2","""",4.25,0.85,1.3,86.6,5.5,29.75,8.7,76.6,7.45,NA,NA
"28-063","18","HIGH QUAL","071","KEISER","184","LA 14603038","1573","1","""",4.33,0.86,1.3,87,5.7,34,7.6,73.3,7.05,NA,NA
"28-064","18","HIGH QUAL","071","KEISER","184","LA 14603038","1573","2","""",4.44,0.86,1.27,85.6,6.7,34.55,7.4,73.6,7.6,NA,NA
"39-031","18","HIGH QUAL","072","FLORENCE","036","PHY 444WRF","1459","1","""",4.01,0.85,1.3,85.9,5.9,32.4,7.6,69.8,8.1,"5.2931323283082135",59.0492032990491
"39-032","18","HIGH QUAL","072","FLORENCE","036","PHY 444WRF","1459","2","""",3,0.82,1.24,83.6,8.4,29.1,7.7,74.55,7.7,"5.4298642533936681",83.0180462507155
"39-005","18","HIGH QUAL","072","FLORENCE","036","FM 1830GLT","1503","1","REGL STD",4.71,0.87,1.25,85,6.7,33.4,7.3,70.65,6.55,"3.4285714285714275",80.6570958042351
"39-006","18","HIGH QUAL","072","FLORENCE","036","FM 1830GLT","1503","2","""",4.01,0.85,1.25,82.9,8.1,32.6,7.2,68.9,6.9,"3.7855946398660052",69.8009765705754
"39-001","18","HIGH QUAL","072","FLORENCE","036","DP 1646B2XF*","1516","1","NATL STD",4.04,0.84,1.28,83.9,6.9,28,8.8,72.5,7.9,"3.3657066309444037",68.938989801018
"39-002","18","HIGH QUAL","072","FLORENCE","036","DP 1646B2XF*","1516","2","""",3.71,0.83,1.26,83.4,7.4,29.9,8.8,73.15,6.95,"4.2503346720214177",73.6349142857143
"39-003","18","HIGH QUAL","072","FLORENCE","036","PHY 764WRF*","1536","1","""",3.71,0.84,1.16,83.4,7.6,32.45,8.1,67.25,7.3,"7.4290484140233648",61.9512648841854
"39-004","18","HIGH QUAL","072","FLORENCE","036","PHY 764WRF*","1536","2","""",3.28,0.83,1.12,80.8,10,31.65,8,71.8,7.85,"6.3131313131313131",57.2923479038569
"39-007","18","HIGH QUAL","072","FLORENCE","036","FM 2574GLT","1556","1","""",4.61,0.87,1.23,85,7.2,33.15,7.1,71.5,7.1,"4.4414535666218047",71.6769742071882
"39-008","18","HIGH QUAL","072","FLORENCE","036","FM 2574GLT","1556","2","""",3.79,0.84,1.19,83.3,8.3,29.55,7.6,76.1,6.6,"2.0507648344259519",78.5175456472281
"39-009","18","HIGH QUAL","072","FLORENCE","036","ST 5020GLT","1557","1","""",4.64,0.86,1.23,86,6.8,33.75,8.6,67.85,7.7,"8.7619366728095116",84.4964156807995
"39-010","18","HIGH QUAL","072","FLORENCE","036","ST 5020GLT","1557","2","""",4,0.84,1.21,84.7,7.2,29.85,8.8,72.5,8.15,"5.0033467202141813",87.8553206431781
"39-011","18","HIGH QUAL","072","FLORENCE","036","DP 1845B3XF","1558","1","""",4.22,0.84,1.32,85.5,5.6,28.75,9.4,69.85,7.35,"4.4885699983313829",65.0496850385312
"39-012","18","HIGH QUAL","072","FLORENCE","036","DP 1845B3XF","1558","2","""",3.98,0.84,1.3,86.1,5.9,31.15,8.8,68.55,6.9,"7.0349227669576981",75.4886346661707
"39-013","18","HIGH QUAL","072","FLORENCE","036","DP 1820B3XF","1559","1","""",4.59,0.86,1.3,84.5,6,32.2,7.1,70.1,8.1,"3.0543368207897323",61.9779708880834
"39-014","18","HIGH QUAL","072","FLORENCE","036","DP 1820B3XF","1559","2","""",3.98,0.85,1.24,84,7.6,32.3,7.3,73.15,7.15,"5.6226921785834199",78.9374215960666
"39-015","18","HIGH QUAL","072","FLORENCE","036","ARK 1019-14","1560","1","""",4.03,0.84,1.3,84.7,6.1,29.65,8,67.55,6.45,"5.4746358613761865",60.3610925806451
"39-016","18","HIGH QUAL","072","FLORENCE","036","ARK 1019-14","1560","2","""",3.82,0.84,1.25,84.5,7.9,29.6,7.7,68.15,6.5,"6.7890835579514848",72.0967229902714
"39-017","18","HIGH QUAL","072","FLORENCE","036","ARK 1002-40","1561","1","""",4.58,0.86,1.3,88.5,5.5,34,7.3,67.55,7.25,"5.351451098808921",80.2294029720913
"39-018","18","HIGH QUAL","072","FLORENCE","036","ARK 1002-40","1561","2","""",4.22,0.85,1.24,85.5,7,32.6,7.6,68.45,6.75,"4.3899182106492995",86.0258099484369
"39-019","18","HIGH QUAL","072","FLORENCE","036","ARK 1019-36","1562","1","""",4.38,0.85,1.31,87.4,5.8,30.95,8.2,68.65,7.35,"4.2517293740509583",61.1392442234151
"39-020","18","HIGH QUAL","072","FLORENCE","036","ARK 1019-36","1562","2","""",3.77,0.84,1.28,85,6.5,29.75,8.2,72.1,7.1,"4.4213699547814445",62.5659546509486
"39-021","18","HIGH QUAL","072","FLORENCE","036","NM 13P1125","1563","1","""",4.07,0.85,1.21,87.1,6.6,33.9,8.2,68.7,7.6,"5.3505535055350517",80.8877193137915
"39-022","18","HIGH QUAL","072","FLORENCE","036","NM 13P1125","1563","2","""",3.93,0.84,1.17,85.4,6.3,31.55,8.3,71.35,6.3,"4.0569991617770356",96.4246307528449
"39-023","18","HIGH QUAL","072","FLORENCE","036","NM 16W1079","1564","1","""",4.29,0.86,1.17,85.7,7,33.05,7.4,70.3,7.5,"4.4990801137313889",104.657888262928
"39-024","18","HIGH QUAL","072","FLORENCE","036","NM 16W1079","1564","2","""",4.01,0.84,1.2,86.6,6.5,32.3,8.3,71,7.05,"7.0387129210658665",57.5530110315261
"39-025","18","HIGH QUAL","072","FLORENCE","036","NM 16W1094","1565","1","""",4.54,0.85,1.22,86.3,6.5,32.9,8.4,68.7,6.85,"5.3422370617696089",99.7460571460357
"39-026","18","HIGH QUAL","072","FLORENCE","036","NM 16W1094","1565","2","""",4.66,0.86,1.21,86.2,6.7,32.65,8.2,68.4,7.05,"8.4196458402940184",93.430299341683
"39-027","18","HIGH QUAL","072","FLORENCE","036","TAM 13Q-18","1566","1","""",3.91,0.85,1.25,84.8,7.2,32.05,7.7,68.9,7.75,"4.4975756562447833",69.9169302250804
