"breeder","yr","regcode","reg","loc","loccode","name","vcode","rep","mic","mat","uhm","ui","sfc","str","elo","rd","hunterb","yt","card_loss"
"87-009",17,"020","EAST","BELLA MINA","087","DP 1538B2XF","1510","1",5.03049135919637,0.855300236789875,1.2047418704903,86.0621035368693,6.68245828567818,28.5089725122319,9.67005805525174,77.3439773310558,9.95456398835164,NA,NA
"87-010",17,"020","EAST","BELLA MINA","087","DP 1538B2XF","1510","2",4.76729782666718,0.850525572912903,1.18537269141246,86.794427548584,6.63741450664417,29.3241320006673,9.49113516133375,77.2964134355293,9.31218552505918,NA,NA
"87-003",17,"020","EAST","BELLA MINA","087","DP 1646B2XF*","1516","1",4.38418042391968,0.842230220918348,1.3644893167937,86.6299691862433,5.22007420051317,29.3219030361765,9.35256158483362,79.2894232233803,8.79311508172587,NA,NA
"87-004",17,"020","EAST","BELLA MINA","087","DP 1646B2XF*","1516","2",4.47565796868357,0.84290687376868,1.38938529252862,87.4539069196836,5.11221457737626,29.6365080416433,9.59255852049067,80.5366867695304,9.33579069745197,NA,NA
"87-005",17,"020","EAST","BELLA MINA","087","NG 4545B2XF*","1535","1",4.73322064937802,0.86606966867013,1.23210103758297,87.2387440488785,6.20917290725533,36.3425740046686,7.55746733440978,78.8717148160821,9.72916864508176,NA,NA
"87-006",17,"020","EAST","BELLA MINA","087","NG 4545B2XF*","1535","2",4.9949163690599,0.871400318245511,1.26895785843061,87.1706910095303,6.1955490419715,34.6322103687615,7.59688610747211,78.439231964069,9.72431254334409,NA,NA
"87-007",17,"020","EAST","BELLA MINA","087","PHY 764WRF*","1536","1",4.50594113428452,0.855244983013025,1.28194121491959,88.1195880600304,6.26774327895727,38.6917876427503,8.46817083591422,77.4906006891793,10.1132354986126,NA,NA
"87-008",17,"020","EAST","BELLA MINA","087","PHY 764WRF*","1536","2",4.46338971049911,0.850295264738484,1.27461108570821,88.0547446993234,5.81028298406294,36.4823497816626,8.89954143738801,77.5106890257638,10.1953530318365,NA,NA
"87-011",17,"020","EAST","BELLA MINA","087","DP 1522B2XF","1537","1",5.0405336521331,0.854728910813271,1.23640571360642,87.3390343915221,6.62235607523331,30.5683639290087,9.9119733533787,77.3566784452827,9.56184572764345,NA,NA
"87-012",17,"020","EAST","BELLA MINA","087","DP 1522B2XF","1537","2",5.15263679375474,0.858220577433154,1.20025526988364,86.4604941169804,6.68614439138726,29.6546318373455,9.74381453539556,76.1817615760943,9.91030148560038,NA,NA
"87-017",17,"020","EAST","BELLA MINA","087","PHY 330W3FE","1542","1",4.51536655010109,0.855497965185016,1.2714596175783,88.407228607468,5.94841224411237,36.2783699393506,8.31847349278867,77.4323373467699,9.72553834821407,NA,NA
"87-018",17,"020","EAST","BELLA MINA","087","PHY 330W3FE","1542","2",4.93853481907106,0.862125009632387,1.25121550656192,88.4219980175664,6.23185281695674,33.5236667908083,8.67001896952587,76.9643722664386,9.72412145891294,NA,NA
"71-001",17,"020","EAST","GRIFFIN, GA","153","PHY 499WRF*","1404","1",4.9,0.86,1.13,84.8,6.7,31.1,9.2,70.5,7,79.1852842760768,13.8461538461538
"71-002",17,"020","EAST","GRIFFIN, GA","153","PHY 499WRF*","1404","2",4.5,0.84,1.13,86.2,6.2,31.5,9.6,69.6,7.6,82.2604470937336,13.8668913226622
"71-015",17,"020","EAST","GRIFFIN, GA","153","PHY 444WRF","1459","1",4.26,0.84,1.17,84.6,6.5,27.9,9.5,64,7,NA,NA
"71-016",17,"020","EAST","GRIFFIN, GA","153","PHY 444WRF","1459","2",3.69,0.84,1.26,86.4,6,33.4,8.1,67.1,6.9,NA,NA
"71-019",17,"020","EAST","GRIFFIN, GA","153","ST 4946GLB2","1468","1",4.37,0.85,1.13,85.6,6.6,30.8,8,72.5,7.4,NA,NA
"71-020",17,"020","EAST","GRIFFIN, GA","153","ST 4946GLB2","1468","2",4.22,0.84,1.14,83.3,7.1,32.1,9.3,72.7,7.2,NA,NA
"71-013",17,"020","EAST","GRIFFIN, GA","153","DP 1553B2XF","1507","1",4.79,0.85,1.12,84.9,7.5,32,10.2,66.2,6.9,NA,NA
"71-014",17,"020","EAST","GRIFFIN, GA","153","DP 1553B2XF","1507","2",4.43,0.84,1.14,85,6.4,29.2,9.6,72.8,7.3,NA,NA
"71-009",17,"020","EAST","GRIFFIN, GA","153","DP 1538B2XF","1510","1",4.49,0.84,1.1,84.7,6.8,28.2,9.8,71.7,7.3,NA,NA
"71-010",17,"020","EAST","GRIFFIN, GA","153","DP 1538B2XF","1510","2",4.29,0.84,1.12,86.4,5.7,29,9.4,73.4,6.9,NA,NA
