"yr","regcode","reg","loccode","loc","vcode","rep","yt","x25sl","x50sl","ui","t1","e1","mic","elg_star","ui_spin","str_spin","rd_spin","b_spin","mic_spin"
89,20,"EAS",35,"Tifton, GA",611,1,"113",1.12,0.55,49.3,"180",7.8,4.2,6.5,86.2,24.9,81.8,8.6,4.3
89,20,"EAS",35,"Tifton, GA",611,2,"113",1.11,0.55,49.3,"177",6.8,4.5,6.2,85.2,23.6,80,8.8,4.5
89,20,"EAS",35,"Tifton, GA",635,1,"107",1.09,0.55,50.7,"180",6.5,4.3,6.3,84.5,21.3,80.1,8.9,4.7
89,20,"EAS",35,"Tifton, GA",635,2,"110",1.07,0.56,51.9,"190",6,4.5,6.2,83.9,23.7,80.3,8.8,4.4
89,20,"EAS",35,"Tifton, GA",649,1,"118",1.11,0.56,50.7,"202",5.3,4.8,6.2,84.4,25.2,78.9,9,4.9
89,20,"EAS",35,"Tifton, GA",649,2,"125",1.13,0.56,49.4,"207",5.3,4.7,6.2,85.8,25.1,80.6,9.1,5
89,20,"EAS",35,"Tifton, GA",654,1,"124",1.12,0.56,49.8,"202",7,4.5,5.9,86.9,24.6,80.8,8.9,4.4
89,20,"EAS",35,"Tifton, GA",654,2,"119",1.12,0.57,50.9,"205",7.3,4.6,6.2,85.7,22.7,79.6,8.8,5
89,20,"EAS",35,"Tifton, GA",670,1,"105",1.14,0.56,49.4,"172",6,4.9,5.9,83.3,20.1,78.6,9.4,5.1
89,20,"EAS",35,"Tifton, GA",670,2,"104",1.13,0.57,50,"182",6.8,4.8,6.2,84.3,20.9,79.4,9.1,5.1
89,20,"EAS",35,"Tifton, GA",689,1,"105",1.13,0.55,48.5,"171",8,4.4,6.4,87.3,21.4,81.4,8.6,4.6
89,20,"EAS",35,"Tifton, GA",689,2,"101",1.15,0.57,49.8,"173",7.3,4.6,6.3,85.1,20.5,80.9,8.7,4.9
